,Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
1402,1346.0,505.0,110.0,WN,DAL,ELP,6,0
1411,370.0,385.0,105.0,WN,PDX,SJC,5,0
1417,711.0,470.0,175.0,WN,SAT,LAS,2,0
1441,2660.0,480.0,90.0,WN,TUS,LAX,3,0
1451,3853.0,540.0,200.0,WN,PVD,TPA,4,0
1484,1961.0,790.0,75.0,WN,PHL,MHT,6,0
1491,2622.0,1220.0,100.0,WN,BOS,PHL,3,0
1498,527.0,645.0,60.0,WN,FLL,TPA,5,0
1543,457.0,855.0,45.0,WN,AUS,HOU,1,0
1562,1199.0,485.0,60.0,WN,HOU,MSY,1,0
1590,372.0,755.0,90.0,WN,MDW,MCI,4,0
1604,1715.0,640.0,125.0,WN,SEA,OAK,2,0
1657,3658.0,540.0,250.0,WN,RDU,DEN,7,0
1662,1843.0,780.0,80.0,WN,ONT,SMF,1,0
1684,2005.0,1105.0,85.0,WN,BNA,JAX,7,0
1707,1112.0,1095.0,110.0,WN,SEA,SLC,7,0
1712,650.0,660.0,120.0,WN,MDW,MHT,4,0
1717,1059.0,775.0,70.0,WN,LAS,BUR,6,0
1724,1969.0,1330.0,125.0,WN,BWI,BNA,7,0
1725,2349.0,530.0,300.0,WN,MDW,OAK,7,0
1746,354.0,935.0,170.0,WN,PHL,TPA,7,0
1752,497.0,650.0,80.0,WN,PVD,BWI,1,0
1756,1252.0,400.0,120.0,WN,STL,BWI,3,0
1758,2484.0,395.0,125.0,WN,MDW,PHL,7,0
1766,3142.0,675.0,65.0,WN,AMA,DAL,7,0
1770,1182.0,580.0,80.0,WN,BWI,BOS,7,0
1774,1780.0,920.0,155.0,WN,MCO,STL,6,0
1776,3058.0,1080.0,80.0,WN,SAN,SJC,1,0
1794,1588.0,1060.0,110.0,WN,TPA,BNA,3,0
1796,1142.0,480.0,140.0,WN,MSY,BWI,3,0
1810,1360.0,550.0,75.0,WN,MSY,HOU,5,0
1818,1570.0,770.0,105.0,WN,LAX,ABQ,5,0
1823,1180.0,960.0,75.0,WN,ONT,PHX,7,0
1857,831.0,485.0,185.0,WN,MDW,SAT,4,0
1873,3421.0,465.0,55.0,WN,ORF,BWI,3,0
1900,1032.0,1140.0,90.0,WN,SFO,LAS,6,0
1903,1808.0,420.0,90.0,WN,SMF,SNA,6,0
1905,816.0,710.0,205.0,WN,BWI,OKC,5,0
1923,770.0,805.0,75.0,WN,ELP,PHX,1,0
1929,1136.0,455.0,80.0,WN,LAX,SFO,4,0
1957,1657.0,375.0,80.0,WN,ELP,SAT,1,0
1959,1251.0,460.0,80.0,WN,BWI,MHT,6,0
1972,2990.0,390.0,75.0,WN,SJC,SNA,2,0
1981,652.0,420.0,70.0,WN,CMH,MDW,4,0
1986,2833.0,675.0,70.0,WN,CMH,MDW,6,0
1988,3136.0,440.0,70.0,WN,LGA,BWI,5,0
1999,182.0,485.0,325.0,WN,MCO,LAS,5,0
2030,1636.0,375.0,60.0,WN,HOU,DAL,2,0
2031,681.0,1110.0,125.0,WN,BWI,BNA,5,0
2043,2810.0,410.0,65.0,WN,LAS,BUR,3,0
2050,2807.0,440.0,100.0,WN,OMA,DEN,5,0
2052,1766.0,1045.0,75.0,WN,PHL,MHT,1,0
2058,1099.0,990.0,55.0,WN,MCI,STL,7,0
2059,1054.0,1180.0,165.0,WN,MCO,BUF,3,0
2062,694.0,415.0,85.0,WN,SMF,SAN,2,0
2065,3661.0,965.0,195.0,WN,MDW,ABQ,4,0
2072,1134.0,540.0,105.0,WN,BWI,IND,7,0
2075,779.0,560.0,60.0,WN,MCO,FLL,4,0
2076,1686.0,750.0,100.0,WN,MHT,PHL,7,0
2080,35.0,900.0,65.0,WN,DAL,HOU,7,0
2081,1269.0,460.0,155.0,WN,OKC,PHX,6,0
2085,238.0,390.0,105.0,WN,BOS,PHL,5,0
2087,1532.0,865.0,130.0,WN,JAN,BWI,2,0
2089,1914.0,510.0,235.0,WN,BWI,AUS,1,0
2090,257.0,825.0,75.0,WN,FLL,JAX,5,0
2103,668.0,1120.0,50.0,WN,AUS,HOU,5,0
2111,1589.0,1215.0,80.0,WN,OAK,SAN,2,0
2112,1120.0,880.0,90.0,WN,TUS,LAX,1,0
2117,1291.0,890.0,65.0,WN,FLL,MCO,5,0
2138,1702.0,625.0,115.0,WN,MCO,BNA,6,0
2144,1286.0,425.0,195.0,WN,MCI,LAS,2,0
2158,354.0,845.0,125.0,WN,DEN,AUS,5,0
2180,740.0,795.0,190.0,WN,LAS,STL,1,0
2189,199.0,1190.0,125.0,WN,PHX,SMF,1,0
2201,1217.0,450.0,75.0,WN,OAK,LAX,3,0
2214,38.0,860.0,50.0,WN,CRP,HOU,5,0
2216,401.0,1150.0,180.0,WN,PHL,FLL,1,0
2220,2643.0,360.0,80.0,WN,SMF,LAX,2,0
2223,1678.0,495.0,295.0,WN,BOS,DEN,1,0
2233,1106.0,755.0,65.0,WN,BWI,RDU,7,0
2238,956.0,1055.0,115.0,WN,BUF,MDW,7,0
2253,941.0,550.0,165.0,WN,FLL,ISP,1,0
2259,962.0,985.0,135.0,WN,MSP,DEN,2,0
2260,962.0,435.0,85.0,WN,BWI,BOS,4,0
2263,1634.0,385.0,90.0,WN,BUF,BWI,5,0
2268,2411.0,650.0,65.0,WN,STL,LIT,6,0
2280,1681.0,445.0,110.0,WN,PIT,MDW,1,0
2294,3232.0,450.0,70.0,WN,JAX,FLL,2,0
2305,2136.0,1140.0,75.0,WN,LAS,SLC,6,0
2313,35.0,805.0,65.0,WN,LIT,DAL,1,0
2324,825.0,1045.0,145.0,WN,MAF,LAS,5,0
2329,1393.0,725.0,195.0,WN,SLC,MDW,6,0
2333,2366.0,715.0,55.0,WN,LAS,ONT,5,0
2342,218.0,1130.0,60.0,WN,BUR,LAS,1,0
2347,37.0,555.0,100.0,WN,LAS,ELP,2,0
2348,1126.0,550.0,110.0,WN,PHX,DEN,7,0
2351,3501.0,415.0,80.0,WN,MDW,PIT,4,0
2359,903.0,1015.0,85.0,WN,MCI,MDW,7,0
2379,3592.0,430.0,75.0,WN,ONT,OAK,2,0
2381,1998.0,570.0,60.0,WN,DAL,HOU,6,0
2389,2647.0,830.0,155.0,WN,TPA,ISP,3,0
2402,9.0,620.0,60.0,WN,HOU,MSY,1,0
2405,914.0,960.0,65.0,WN,LAX,SJC,1,0
2409,752.0,395.0,155.0,WN,HOU,DEN,1,0
2434,3190.0,810.0,60.0,WN,BWI,PIT,7,0
2437,2181.0,780.0,95.0,WN,SEA,RNO,4,0
2457,459.0,625.0,80.0,WN,TUS,LAS,2,0
2458,1599.0,455.0,80.0,WN,SMF,LAX,2,0
2460,960.0,910.0,70.0,WN,BWI,PVD,1,0
2464,787.0,420.0,80.0,WN,BUR,SMF,3,0
2480,153.0,905.0,95.0,WN,IND,BWI,2,0
2496,1325.0,490.0,140.0,WN,IND,MCO,7,0
2503,3007.0,810.0,140.0,WN,DEN,HOU,6,0
2505,497.0,650.0,80.0,WN,PVD,BWI,4,0
2533,831.0,965.0,60.0,WN,PDX,GEG,2,0
2545,357.0,730.0,110.0,WN,BHM,BWI,2,0
2553,606.0,895.0,165.0,WN,RSW,STL,4,0
2555,945.0,565.0,80.0,WN,PVD,PHL,5,0
2558,723.0,870.0,100.0,WN,MHT,BWI,3,0
2575,3070.0,465.0,75.0,WN,PHL,MHT,3,0
2577,1824.0,590.0,140.0,WN,ORF,MDW,5,0
2597,482.0,755.0,75.0,WN,PHX,SNA,4,0
2628,1264.0,560.0,115.0,WN,LAS,DEN,5,0
2633,916.0,1210.0,140.0,WN,DEN,HOU,2,0
2647,326.0,1120.0,160.0,WN,PBI,ISP,1,0
2649,3504.0,770.0,145.0,WN,AUS,MCO,7,0
2655,233.0,570.0,155.0,WN,ISP,MDW,7,0
2661,1381.0,945.0,95.0,WN,MCI,DAL,5,0
2668,1371.0,1040.0,95.0,WN,BOS,BWI,6,0
2669,2610.0,920.0,75.0,WN,SJC,SAN,7,0
2684,723.0,1095.0,95.0,WN,RDU,BNA,7,0
2704,1105.0,740.0,65.0,WN,MDW,SDF,2,0
2711,1097.0,640.0,170.0,WN,ISP,MCO,3,0
2719,495.0,395.0,95.0,WN,LAS,SFO,4,0
2722,659.0,360.0,105.0,WN,PHX,DEN,2,0
2734,2799.0,870.0,255.0,WN,SFO,MDW,6,0
2752,1662.0,740.0,85.0,WN,SDF,BWI,4,0
2770,2312.0,405.0,160.0,WN,BWI,FLL,6,0
2784,2030.0,485.0,115.0,WN,RDU,TPA,2,0
2802,45.0,920.0,105.0,WN,STL,DAL,2,0
2804,1360.0,550.0,75.0,WN,MSY,HOU,3,0
2813,2985.0,460.0,80.0,WN,PHL,MHT,4,0
2816,2079.0,1015.0,140.0,WN,OAK,DEN,6,0
2833,2810.0,500.0,80.0,WN,BUR,SMF,5,0
2836,450.0,965.0,50.0,WN,BWI,ORF,7,0
2839,2579.0,460.0,65.0,WN,RDU,BWI,6,0
2841,1025.0,520.0,55.0,WN,LAS,ONT,3,0
2844,2806.0,665.0,90.0,WN,LAS,SJC,5,0
2852,3669.0,1265.0,75.0,WN,BUR,SMF,1,0
2855,1213.0,545.0,170.0,WN,OKC,LAS,6,0
2858,47.0,825.0,85.0,WN,DEN,OKC,2,0
2893,1175.0,405.0,105.0,WN,SNA,OAK,3,0
2897,862.0,950.0,145.0,WN,MCO,ISP,1,0
2901,244.0,880.0,280.0,WN,MDW,LAX,3,0
2907,1681.0,445.0,110.0,WN,PIT,MDW,4,0
2910,3659.0,605.0,155.0,WN,TPA,PHL,3,0
2924,2797.0,450.0,175.0,WN,SAT,LAS,6,0
2936,485.0,475.0,60.0,WN,PDX,GEG,4,0
2938,2653.0,1210.0,100.0,WN,BOS,PHL,7,0
2940,1021.0,640.0,75.0,WN,MSY,HOU,3,0
2946,1860.0,1055.0,85.0,WN,HOU,MAF,1,0
2950,664.0,505.0,80.0,WN,LAX,PHX,5,0
2993,109.0,360.0,180.0,WN,MSY,DEN,4,0
2998,520.0,745.0,95.0,WN,MCO,RDU,4,0
3002,181.0,615.0,205.0,WN,HOU,LAS,1,0
3019,1047.0,990.0,135.0,WN,ORF,MDW,1,0
3027,3920.0,755.0,100.0,WN,OKC,DEN,2,0
3035,3744.0,740.0,70.0,WN,LAS,SAN,1,0
3044,2278.0,370.0,80.0,WN,LAX,OAK,1,0
3054,1289.0,465.0,105.0,WN,SEA,SMF,4,0
3057,882.0,855.0,50.0,WN,BWI,ORF,2,0
3067,2343.0,420.0,145.0,WN,SEA,LAS,5,0
3068,1633.0,385.0,75.0,WN,LAS,TUS,1,0
3070,1783.0,725.0,75.0,WN,ALB,BWI,7,0
3080,1860.0,935.0,85.0,WN,LIT,HOU,2,0
3083,1745.0,420.0,160.0,WN,SEA,DEN,6,0
3092,1124.0,1080.0,90.0,WN,STL,DTW,2,0
3097,143.0,1120.0,90.0,WN,SAN,OAK,3,0
3111,367.0,470.0,80.0,WN,BNA,ECP,5,0
3113,871.0,1030.0,90.0,WN,SAN,SFO,3,0
3138,782.0,445.0,240.0,WN,LAX,MDW,3,0
3145,526.0,435.0,80.0,WN,BWI,BOS,2,0
3180,1744.0,445.0,135.0,WN,ONT,DEN,5,0
3191,1426.0,495.0,65.0,WN,DAL,LBB,1,0
3192,840.0,375.0,120.0,WN,DEN,PHX,3,0
3201,1788.0,450.0,110.0,WN,TUL,DEN,6,0
3220,1669.0,490.0,75.0,WN,ABQ,PHX,1,0
3227,2096.0,735.0,70.0,WN,BUF,BWI,3,0
3230,1624.0,885.0,160.0,WN,SEA,DEN,5,0
3234,1392.0,1110.0,95.0,WN,ABQ,DAL,4,0
3240,2254.0,555.0,60.0,WN,TUL,DAL,7,0
3241,2655.0,435.0,80.0,WN,TUS,LAS,4,0
3257,595.0,520.0,55.0,WN,SJC,RNO,3,0
3261,3949.0,700.0,70.0,WN,BNA,CMH,5,0
3263,1914.0,440.0,200.0,WN,ALB,FLL,2,0
3269,250.0,390.0,55.0,WN,FLL,MCO,4,0
3270,2989.0,1145.0,135.0,WN,MCO,PIT,7,0
3272,463.0,585.0,170.0,WN,MDW,DEN,6,0
3288,460.0,395.0,85.0,WN,OKC,HOU,4,0
3293,2528.0,405.0,125.0,WN,HOU,MCO,7,0
3342,1138.0,820.0,75.0,WN,JAX,BHM,5,0
3346,780.0,785.0,140.0,WN,STL,MCO,1,0
3372,888.0,545.0,125.0,WN,OAK,GEG,5,0
3373,1340.0,620.0,250.0,WN,RDU,DEN,5,0
3385,2588.0,525.0,60.0,WN,TPA,FLL,5,0
3389,339.0,1140.0,95.0,WN,TUL,HOU,2,0
3409,662.0,660.0,95.0,WN,SEA,RNO,3,0
3424,2956.0,435.0,200.0,WN,PVD,TPA,5,0
3432,1956.0,1055.0,55.0,WN,HOU,SAT,7,0
3437,964.0,445.0,240.0,WN,SEA,MDW,7,0
3440,102.0,875.0,85.0,WN,SFO,SAN,2,0
3443,1371.0,1040.0,95.0,WN,BOS,BWI,5,0
3467,1121.0,640.0,125.0,WN,MCO,BWI,3,0
3470,586.0,730.0,205.0,WN,PHX,MDW,2,0
3471,3249.0,1260.0,80.0,WN,LAS,ABQ,4,0
3472,895.0,1230.0,140.0,WN,DEN,ONT,3,0
3481,1022.0,745.0,90.0,WN,BOS,BWI,4,0
3487,2092.0,455.0,180.0,WN,BWI,MCI,4,0
3501,1129.0,680.0,140.0,WN,SAT,TPA,2,0
3505,1402.0,460.0,60.0,WN,FLL,TPA,3,0
3508,1589.0,625.0,90.0,WN,BOS,BWI,1,0
3509,3814.0,790.0,50.0,WN,MCO,RSW,1,0
3518,1234.0,615.0,100.0,WN,PDX,OAK,3,0
3522,1260.0,1040.0,165.0,WN,LAS,MCI,6,0
3527,391.0,670.0,115.0,WN,PHX,RNO,5,0
3554,857.0,500.0,120.0,WN,MKE,BWI,1,0
3585,1864.0,535.0,50.0,WN,HOU,CRP,6,0
3587,1587.0,415.0,65.0,WN,LBB,DAL,5,0
3592,1084.0,1050.0,105.0,WN,RDU,MCO,5,0
3595,527.0,1055.0,75.0,WN,RNO,LAS,2,0
3613,2397.0,885.0,240.0,WN,AUS,OAK,4,0
3622,509.0,430.0,90.0,WN,MDW,MSP,3,0
3655,1171.0,1060.0,125.0,WN,SEA,OAK,3,0
3658,625.0,360.0,80.0,WN,LAX,SFO,3,0
3662,2016.0,1100.0,110.0,WN,SMF,PHX,6,0
3671,1960.0,1035.0,105.0,WN,PDX,SJC,6,0
3672,2534.0,1095.0,180.0,WN,FLL,BDL,6,0
3692,2962.0,615.0,220.0,WN,MHT,TPA,7,0
3696,787.0,420.0,80.0,WN,BUR,SMF,1,0
3702,109.0,475.0,60.0,WN,LAS,SNA,6,0
3720,2175.0,470.0,195.0,WN,ALB,MCO,2,0
3760,1717.0,1110.0,115.0,WN,ELP,LAS,3,0
3773,1518.0,515.0,75.0,WN,SNA,SJC,5,0
3784,1287.0,555.0,50.0,WN,DAL,OKC,5,0
3814,729.0,415.0,65.0,WN,PHX,LAS,1,0
3824,2102.0,385.0,85.0,WN,LAS,SJC,4,0
3833,867.0,1215.0,75.0,WN,DAL,MSY,7,0
3834,114.0,1265.0,85.0,WN,SFO,SAN,2,0
3848,12.0,880.0,185.0,WN,BDL,MCO,6,0
3888,2852.0,505.0,65.0,WN,ONT,PHX,5,0
3891,1730.0,500.0,190.0,WN,FLL,MDW,6,0
3892,1199.0,485.0,60.0,WN,HOU,MSY,2,0
3897,683.0,530.0,65.0,WN,ECP,MCO,3,0
3916,1924.0,430.0,165.0,WN,FLL,ISP,5,0
3925,137.0,395.0,50.0,WN,SAT,HOU,1,0
3939,3658.0,930.0,85.0,WN,BUR,PHX,7,0
3945,3926.0,890.0,195.0,WN,MCI,LAS,4,0
3955,2882.0,850.0,55.0,WN,JAX,TPA,4,0
3957,1546.0,410.0,150.0,WN,DEN,SAN,3,0
3995,759.0,770.0,75.0,WN,ABQ,DEN,3,0
4025,1055.0,900.0,75.0,WN,PHL,MHT,4,0
4027,1427.0,1065.0,240.0,WN,MSY,LAS,5,0
4034,2297.0,420.0,115.0,WN,TPA,BNA,1,0
4049,769.0,705.0,160.0,WN,BWI,FLL,7,0
4053,1572.0,435.0,110.0,WN,MDW,BWI,6,0
4054,205.0,565.0,110.0,WN,MDW,RDU,7,0
4061,201.0,690.0,155.0,WN,MCO,BDL,7,0
4099,1069.0,785.0,135.0,WN,CMH,MCO,7,0
4105,134.0,395.0,140.0,WN,SAN,DEN,4,0
4127,1143.0,695.0,135.0,WN,BWI,BHM,6,0
4132,3333.0,1090.0,70.0,WN,DAL,MAF,4,0
4138,618.0,430.0,90.0,WN,PVD,BWI,3,0
4151,512.0,465.0,70.0,WN,SAN,LAS,1,0
4154,580.0,730.0,185.0,WN,MCI,PHX,5,0
4156,1479.0,495.0,70.0,WN,PHX,SAN,7,0
4159,2297.0,420.0,115.0,WN,TPA,BNA,2,0
4169,1124.0,960.0,85.0,WN,OKC,STL,4,0
4172,28.0,630.0,115.0,WN,ECP,HOU,1,0
4182,2376.0,425.0,80.0,WN,PHL,BOS,3,0
4185,2349.0,410.0,145.0,WN,ALB,MDW,7,0
4208,1357.0,360.0,80.0,WN,SMF,ONT,3,0
4217,1276.0,735.0,50.0,WN,DAL,AUS,4,0
4225,258.0,1045.0,70.0,WN,LAS,LAX,3,0
4257,2354.0,820.0,245.0,WN,MDW,LAS,6,0
4268,924.0,665.0,65.0,WN,GEG,SEA,7,0
4273,16.0,600.0,55.0,WN,HOU,DAL,2,0
4277,134.0,995.0,130.0,WN,TPA,BWI,3,0
4279,2807.0,630.0,60.0,WN,ONT,LAS,7,0
4281,2961.0,1030.0,255.0,WN,MCO,DEN,5,0
4298,1510.0,435.0,85.0,WN,SDF,BWI,1,0
4302,1400.0,375.0,145.0,WN,DEN,MDW,4,0
4308,925.0,1140.0,120.0,WN,DEN,MSP,7,0
4314,1046.0,600.0,200.0,WN,SJC,AUS,1,0
4322,153.0,610.0,145.0,WN,DEN,IND,7,0
4343,1661.0,770.0,100.0,WN,RNO,PHX,5,0
4349,1234.0,745.0,85.0,WN,OAK,SAN,3,0
4357,2284.0,1025.0,90.0,WN,SDF,BWI,7,0
4377,2439.0,870.0,65.0,WN,BOI,GEG,2,0
4382,981.0,1045.0,75.0,WN,BUR,OAK,3,0
4397,1091.0,470.0,115.0,WN,ELP,LAS,1,0
4405,357.0,730.0,110.0,WN,BHM,BWI,4,0
4413,24.0,460.0,105.0,WN,RDU,MCO,7,0
4416,1370.0,690.0,95.0,WN,MKE,MCI,4,0
4417,567.0,860.0,100.0,WN,BOS,PHL,7,0
4431,301.0,600.0,85.0,WN,SNA,SMF,2,0
4451,1657.0,935.0,80.0,WN,SLC,LAS,4,0
4453,3063.0,615.0,70.0,WN,BWI,PVD,5,0
4466,1136.0,365.0,65.0,WN,LAS,LAX,3,0
4480,2376.0,985.0,120.0,WN,PHX,SJC,1,0
4482,909.0,595.0,115.0,WN,BWI,SDF,4,0
4490,2119.0,885.0,90.0,WN,SNA,SMF,2,0
4501,3762.0,1100.0,70.0,WN,SJC,ONT,7,0
4504,2398.0,405.0,120.0,WN,MDW,LGA,6,0
4506,1158.0,1025.0,75.0,WN,SJC,SNA,1,0
4508,729.0,415.0,65.0,WN,PHX,LAS,2,0
4524,1046.0,390.0,55.0,WN,JAX,TPA,1,0
4541,2801.0,735.0,55.0,WN,TPA,PBI,4,0
4556,1056.0,520.0,55.0,WN,LAS,ONT,4,0
4558,1553.0,560.0,100.0,WN,DAL,STL,6,0
4573,374.0,1025.0,160.0,WN,ISP,MDW,7,0
4574,1326.0,390.0,165.0,WN,MHT,MDW,4,0
4587,129.0,390.0,75.0,WN,MSY,HOU,3,0
4588,1933.0,465.0,70.0,WN,MDW,CMH,5,0
4603,727.0,1150.0,65.0,WN,OAK,BUR,5,0
4614,2150.0,835.0,365.0,WN,BOS,PHX,6,0
4620,3038.0,1135.0,125.0,WN,BWI,BNA,6,0
4650,851.0,515.0,65.0,WN,BOI,RNO,3,0
4651,37.0,930.0,65.0,WN,DAL,HOU,1,0
4657,514.0,780.0,75.0,WN,LAS,SLC,1,0
4675,3843.0,485.0,70.0,WN,SMF,BUR,1,0
